categoryid,parentid,depth,channel
1016,213.0,3,Display Ads
809,169.0,3,Display Ads
570,9.0,3,Display Ads
1691,885.0,2,Email Marketing
536,1691.0,3,Display Ads
231,,0,Organic Search
542,378.0,1,Paid Social
1146,542.0,2,Email Marketing
1140,542.0,2,Email Marketing
1479,1537.0,3,Display Ads
83,1621.0,2,Email Marketing
688,893.0,3,Display Ads
257,312.0,2,Email Marketing
1640,622.0,3,Display Ads
963,1281.0,3,Display Ads
412,1110.0,2,Email Marketing
948,1110.0,2,Email Marketing
934,1110.0,2,Email Marketing
148,1110.0,2,Email Marketing
12,1110.0,2,Email Marketing
1459,1604.0,3,Display Ads
1039,1604.0,3,Display Ads
877,1604.0,3,Display Ads
28,1604.0,3,Display Ads
912,945.0,2,Email Marketing
600,768.0,2,Email Marketing
177,768.0,2,Email Marketing
344,768.0,2,Email Marketing
419,229.0,4,Direct / Referral
192,1181.0,3,Display Ads
1099,711.0,3,Display Ads
1212,711.0,3,Display Ads
527,73.0,3,Display Ads
1653,393.0,3,Display Ads
7,250.0,1,Paid Social
1252,250.0,1,Paid Social
874,1420.0,2,Email Marketing
1122,1420.0,2,Email Marketing
88,1101.0,3,Display Ads
365,1424.0,2,Email Marketing
1587,1215.0,3,Display Ads
91,1215.0,3,Display Ads
1436,313.0,2,Email Marketing
1185,583.0,2,Email Marketing
1517,71.0,2,Email Marketing
1159,71.0,2,Email Marketing
1689,71.0,2,Email Marketing
582,590.0,3,Display Ads
1309,590.0,3,Display Ads
632,590.0,3,Display Ads
259,71.0,2,Email Marketing
454,71.0,2,Email Marketing
1334,1550.0,3,Display Ads
237,1550.0,3,Display Ads
890,1550.0,3,Display Ads
915,1550.0,3,Display Ads
63,1550.0,3,Display Ads
898,763.0,2,Email Marketing
840,488.0,3,Display Ads
1166,763.0,2,Email Marketing
1194,763.0,2,Email Marketing
232,763.0,2,Email Marketing
824,232.0,3,Display Ads
1683,232.0,3,Display Ads
855,1591.0,2,Email Marketing
800,383.0,3,Display Ads
1609,383.0,3,Display Ads
949,1591.0,2,Email Marketing
1115,949.0,3,Display Ads
817,949.0,3,Display Ads
981,949.0,3,Display Ads
298,949.0,3,Display Ads
397,8.0,3,Display Ads
1230,8.0,3,Display Ads
681,8.0,3,Display Ads
1369,880.0,3,Display Ads
935,322.0,3,Display Ads
965,666.0,3,Display Ads
1242,1291.0,3,Display Ads
186,865.0,2,Email Marketing
595,186.0,3,Display Ads
31,336.0,3,Display Ads
1381,336.0,3,Display Ads
1000,92.0,2,Email Marketing
210,585.0,4,Direct / Referral
178,399.0,3,Display Ads
309,178.0,4,Direct / Referral
483,178.0,4,Direct / Referral
1682,399.0,3,Display Ads
701,1682.0,4,Direct / Referral
1551,1682.0,4,Direct / Referral
667,777.0,3,Display Ads
932,777.0,3,Display Ads
122,520.0,4,Direct / Referral
748,781.0,4,Direct / Referral
201,1453.0,3,Display Ads
614,571.0,3,Display Ads
757,252.0,3,Display Ads
717,866.0,2,Email Marketing
428,1669.0,2,Email Marketing
1217,630.0,2,Email Marketing
556,1370.0,3,Display Ads
1379,609.0,3,Display Ads
1321,1618.0,3,Display Ads
1380,1618.0,3,Display Ads
1268,378.0,1,Paid Social
102,351.0,2,Email Marketing
21,351.0,2,Email Marketing
1570,351.0,2,Email Marketing
1633,351.0,2,Email Marketing
119,351.0,2,Email Marketing
1457,1486.0,2,Email Marketing
1414,854.0,2,Email Marketing
128,945.0,2,Email Marketing
303,945.0,2,Email Marketing
909,1229.0,2,Email Marketing
534,1009.0,2,Email Marketing
1427,1259.0,2,Email Marketing
1444,1490.0,1,Paid Social
740,1444.0,2,Email Marketing
732,593.0,2,Email Marketing
1547,732.0,3,Display Ads
458,732.0,3,Display Ads
136,732.0,3,Display Ads
601,732.0,3,Display Ads
418,1394.0,1,Paid Social
697,418.0,2,Email Marketing
108,1687.0,3,Display Ads
1512,1687.0,3,Display Ads
32,1687.0,3,Display Ads
294,1687.0,3,Display Ads
68,1687.0,3,Display Ads
443,1687.0,3,Display Ads
906,1687.0,3,Display Ads
922,1687.0,3,Display Ads
79,1687.0,3,Display Ads
1044,1687.0,3,Display Ads
733,1687.0,3,Display Ads
853,1687.0,3,Display Ads
403,1687.0,3,Display Ads
1264,1687.0,3,Display Ads
1262,1658.0,3,Display Ads
41,1658.0,3,Display Ads
1612,216.0,3,Display Ads
698,1251.0,3,Display Ads
988,727.0,2,Email Marketing
810,378.0,1,Paid Social
1172,810.0,2,Email Marketing
606,810.0,2,Email Marketing
967,378.0,1,Paid Social
604,894.0,2,Email Marketing
1341,480.0,3,Display Ads
480,1299.0,2,Email Marketing
1535,727.0,2,Email Marketing
1513,1416.0,2,Email Marketing
776,727.0,2,Email Marketing
1537,727.0,2,Email Marketing
81,1537.0,3,Display Ads
144,561.0,2,Email Marketing
463,250.0,1,Paid Social
1621,395.0,1,Paid Social
1257,395.0,1,Paid Social
893,1615.0,2,Email Marketing
75,893.0,3,Display Ads
751,893.0,3,Display Ads
1183,893.0,3,Display Ads
36,893.0,3,Display Ads
408,654.0,4,Direct / Referral
498,506.0,2,Email Marketing
1129,900.0,3,Display Ads
578,1278.0,2,Email Marketing
558,92.0,2,Email Marketing
637,92.0,2,Email Marketing
437,92.0,2,Email Marketing
1610,92.0,2,Email Marketing
607,312.0,2,Email Marketing
1251,312.0,2,Email Marketing
1087,622.0,3,Display Ads
718,622.0,3,Display Ads
1080,1281.0,3,Display Ads
297,312.0,2,Email Marketing
540,140.0,1,Paid Social
1110,653.0,1,Paid Social
115,1110.0,2,Email Marketing
1330,1110.0,2,Email Marketing
94,1330.0,3,Display Ads
17,1604.0,3,Display Ads
962,945.0,2,Email Marketing
1596,653.0,1,Paid Social
907,768.0,2,Email Marketing
1562,351.0,2,Email Marketing
351,653.0,1,Paid Social
782,1562.0,3,Display Ads
1447,351.0,2,Email Marketing
1124,351.0,2,Email Marketing
1270,351.0,2,Email Marketing
1026,351.0,2,Email Marketing
199,351.0,2,Email Marketing
9,351.0,2,Email Marketing
1295,9.0,3,Display Ads
1263,1637.0,3,Display Ads
386,1095.0,3,Display Ads
805,384.0,2,Email Marketing
1173,805.0,3,Display Ads
792,805.0,3,Display Ads
1347,1458.0,3,Display Ads
445,1308.0,3,Display Ads
725,1519.0,2,Email Marketing
589,1308.0,3,Display Ads
84,1308.0,3,Display Ads
1048,1308.0,3,Display Ads
1329,1519.0,2,Email Marketing
1417,1329.0,3,Display Ads
1549,1329.0,3,Display Ads
149,1519.0,2,Email Marketing
497,149.0,3,Display Ads
46,1519.0,2,Email Marketing
597,1329.0,3,Display Ads
1239,351.0,2,Email Marketing
610,1239.0,3,Display Ads
862,1667.0,3,Display Ads
1393,1383.0,3,Display Ads
469,1383.0,3,Display Ads
191,1383.0,3,Display Ads
183,540.0,2,Email Marketing
16,585.0,4,Direct / Referral
860,1515.0,3,Display Ads
1368,540.0,2,Email Marketing
1659,825.0,4,Direct / Referral
1178,540.0,2,Email Marketing
1228,121.0,3,Display Ads
325,540.0,2,Email Marketing
1645,1534.0,3,Display Ads
579,1371.0,5,Direct / Referral
1511,409.0,2,Email Marketing
1486,140.0,1,Paid Social
131,1486.0,2,Email Marketing
539,131.0,3,Display Ads
315,131.0,3,Display Ads
369,1486.0,2,Email Marketing
802,369.0,3,Display Ads
1324,1181.0,3,Display Ads
856,1181.0,3,Display Ads
1314,1181.0,3,Display Ads
1499,351.0,2,Email Marketing
895,1499.0,3,Display Ads
711,1486.0,2,Email Marketing
1378,322.0,3,Display Ads
364,711.0,3,Display Ads
886,1486.0,2,Email Marketing
1553,886.0,3,Display Ads
156,886.0,3,Display Ads
1023,886.0,3,Display Ads
1311,140.0,1,Paid Social
799,920.0,2,Email Marketing
984,827.0,3,Display Ads
1616,827.0,3,Display Ads
1487,920.0,2,Email Marketing
777,920.0,2,Email Marketing
643,346.0,3,Display Ads
1265,1136.0,3,Display Ads
897,61.0,2,Email Marketing
1098,897.0,3,Display Ads
1540,897.0,3,Display Ads
531,1058.0,3,Display Ads
845,1430.0,3,Display Ads
396,164.0,2,Email Marketing
317,314.0,3,Display Ads
57,314.0,3,Display Ads
392,1202.0,2,Email Marketing
293,1532.0,1,Paid Social
65,293.0,2,Email Marketing
1445,293.0,2,Email Marketing
986,1532.0,1,Paid Social
1171,938.0,3,Display Ads
330,986.0,2,Email Marketing
562,986.0,2,Email Marketing
1076,986.0,2,Email Marketing
517,206.0,3,Display Ads
58,766.0,3,Display Ads
533,1299.0,2,Email Marketing
416,1299.0,2,Email Marketing
1492,107.0,2,Email Marketing
450,1492.0,3,Display Ads
1409,1174.0,3,Display Ads
1174,107.0,2,Email Marketing
360,1174.0,3,Display Ads
1038,1174.0,3,Display Ads
89,937.0,4,Direct / Referral
86,937.0,4,Direct / Referral
1266,293.0,2,Email Marketing
801,766.0,3,Display Ads
1083,594.0,3,Display Ads
1376,480.0,3,Display Ads
290,207.0,2,Email Marketing
333,1497.0,2,Email Marketing
806,1497.0,2,Email Marketing
56,1497.0,2,Email Marketing
543,250.0,1,Paid Social
1116,1497.0,2,Email Marketing
1188,1497.0,2,Email Marketing
658,506.0,2,Email Marketing
308,658.0,3,Display Ads
514,188.0,3,Display Ads
1130,1323.0,3,Display Ads
1323,1200.0,2,Email Marketing
1396,1200.0,2,Email Marketing
588,1396.0,3,Display Ads
1399,1396.0,3,Display Ads
1031,1200.0,2,Email Marketing
516,1031.0,3,Display Ads
109,1031.0,3,Display Ads
746,1200.0,2,Email Marketing
90,1156.0,3,Display Ads
1306,947.0,4,Direct / Referral
821,1012.0,3,Display Ads
1356,1306.0,5,Direct / Referral
1012,500.0,2,Email Marketing
1576,1012.0,3,Display Ads
1395,1012.0,3,Display Ads
1068,947.0,4,Direct / Referral
914,226.0,3,Display Ads
1431,1066.0,3,Display Ads
457,250.0,1,Paid Social
678,250.0,1,Paid Social
1674,1420.0,2,Email Marketing
538,1420.0,2,Email Marketing
1365,538.0,3,Display Ads
1036,1420.0,2,Email Marketing
708,1101.0,3,Display Ads
1424,679.0,1,Paid Social
421,1424.0,2,Email Marketing
1139,679.0,1,Paid Social
310,1139.0,2,Email Marketing
1143,1424.0,2,Email Marketing
511,724.0,2,Email Marketing
553,1424.0,2,Email Marketing
1008,1424.0,2,Email Marketing
992,1008.0,3,Display Ads
245,1424.0,2,Email Marketing
1231,901.0,2,Email Marketing
368,901.0,2,Email Marketing
1454,1596.0,2,Email Marketing
844,1458.0,3,Display Ads
815,1027.0,2,Email Marketing
1113,1145.0,3,Display Ads
324,1145.0,3,Display Ads
1043,226.0,3,Display Ads
50,312.0,2,Email Marketing
127,312.0,2,Email Marketing
1253,127.0,3,Display Ads
1047,127.0,3,Display Ads
652,127.0,3,Display Ads
1456,127.0,3,Display Ads
884,127.0,3,Display Ads
484,127.0,3,Display Ads
1300,127.0,3,Display Ads
352,859.0,1,Paid Social
590,71.0,2,Email Marketing
77,590.0,3,Display Ads
1453,71.0,2,Email Marketing
1193,1453.0,3,Display Ads
526,1453.0,3,Display Ads
359,1579.0,1,Paid Social
1550,359.0,2,Email Marketing
1675,1550.0,3,Display Ads
475,1550.0,3,Display Ads
763,1579.0,1,Paid Social
488,763.0,2,Email Marketing
726,488.0,3,Display Ads
608,763.0,2,Email Marketing
1468,1136.0,3,Display Ads
1591,1579.0,1,Paid Social
910,1591.0,2,Email Marketing
925,1591.0,2,Email Marketing
918,383.0,3,Display Ads
1460,1591.0,2,Email Marketing
989,1579.0,1,Paid Social
843,880.0,3,Display Ads
1029,1181.0,3,Display Ads
1559,989.0,2,Email Marketing
1094,131.0,3,Display Ads
1524,1559.0,3,Display Ads
1232,1559.0,3,Display Ads
322,1486.0,2,Email Marketing
234,322.0,3,Display Ads
649,696.0,3,Display Ads
666,989.0,2,Email Marketing
211,666.0,3,Display Ads
415,666.0,3,Display Ads
468,666.0,3,Display Ads
1211,989.0,2,Email Marketing
78,1211.0,3,Display Ads
865,1579.0,1,Paid Social
194,865.0,2,Email Marketing
863,194.0,3,Display Ads
1175,865.0,2,Email Marketing
1536,1175.0,3,Display Ads
729,1175.0,3,Display Ads
1518,865.0,2,Email Marketing
842,1518.0,3,Display Ads
436,1518.0,3,Display Ads
829,1518.0,3,Display Ads
1651,1579.0,1,Paid Social
1223,1651.0,2,Email Marketing
1283,1651.0,2,Email Marketing
1590,336.0,3,Display Ads
1632,885.0,2,Email Marketing
1478,1632.0,3,Display Ads
1433,312.0,2,Email Marketing
2,312.0,2,Email Marketing
1169,92.0,2,Email Marketing
1681,568.0,3,Display Ads
1514,920.0,2,Email Marketing
1630,663.0,2,Email Marketing
399,663.0,2,Email Marketing
693,1630.0,3,Display Ads
453,1630.0,3,Display Ads
1075,399.0,3,Display Ads
1025,1075.0,4,Direct / Referral
521,654.0,4,Direct / Referral
705,1487.0,3,Display Ads
775,763.0,2,Email Marketing
998,653.0,1,Paid Social
1485,250.0,1,Paid Social
22,1550.0,3,Display Ads
1666,1684.0,2,Email Marketing
818,852.0,4,Direct / Referral
1606,1684.0,2,Email Marketing
683,1606.0,3,Display Ads
520,1606.0,3,Display Ads
873,520.0,4,Direct / Referral
676,479.0,5,Direct / Referral
875,479.0,5,Direct / Referral
876,580.0,3,Display Ads
1073,580.0,3,Display Ads
1179,580.0,3,Display Ads
1207,580.0,3,Display Ads
942,125.0,4,Direct / Referral
1220,125.0,4,Direct / Referral
1273,125.0,4,Direct / Referral
426,872.0,2,Email Marketing
268,138.0,4,Direct / Referral
1575,138.0,4,Direct / Referral
944,950.0,4,Direct / Referral
569,426.0,3,Display Ads
1625,1141.0,3,Display Ads
1141,55.0,2,Email Marketing
969,1141.0,3,Display Ads
1236,1141.0,3,Display Ads
406,872.0,2,Email Marketing
1107,1600.0,1,Paid Social
1041,1313.0,3,Display Ads
394,1041.0,4,Direct / Referral
1413,1313.0,3,Display Ads
1033,571.0,3,Display Ads
571,1107.0,2,Email Marketing
465,571.0,3,Display Ads
804,187.0,4,Direct / Referral
187,1313.0,3,Display Ads
997,187.0,4,Direct / Referral
1053,187.0,4,Direct / Referral
1392,1041.0,4,Direct / Referral
1243,1107.0,2,Email Marketing
684,1041.0,4,Direct / Referral
216,1107.0,2,Email Marketing
783,216.0,3,Display Ads
1088,287.0,2,Email Marketing
425,55.0,2,Email Marketing
23,640.0,3,Display Ads
1677,896.0,3,Display Ads
1111,835.0,3,Display Ads
1322,252.0,3,Display Ads
252,872.0,2,Email Marketing
1091,573.0,4,Direct / Referral
493,1331.0,4,Direct / Referral
1018,1331.0,4,Direct / Referral
789,14.0,3,Display Ads
1573,14.0,3,Display Ads
1117,14.0,3,Display Ads
1184,14.0,3,Display Ads
892,14.0,3,Display Ads
1635,866.0,2,Email Marketing
866,803.0,1,Paid Social
93,866.0,2,Email Marketing
888,866.0,2,Email Marketing
964,1326.0,2,Email Marketing
1326,803.0,1,Paid Social
1614,1326.0,2,Email Marketing
51,955.0,3,Display Ads
1086,250.0,1,Paid Social
213,1299.0,2,Email Marketing
772,213.0,3,Display Ads
692,213.0,3,Display Ads
1669,250.0,1,Paid Social
1440,1669.0,2,Email Marketing
779,1669.0,2,Email Marketing
814,1669.0,2,Email Marketing
1560,293.0,2,Email Marketing
1662,630.0,2,Email Marketing
630,679.0,1,Paid Social
752,630.0,2,Email Marketing
1385,1202.0,2,Email Marketing
797,213.0,3,Display Ads
764,1370.0,3,Display Ads
1370,1107.0,2,Email Marketing
836,1370.0,3,Display Ads
448,609.0,3,Display Ads
609,1107.0,2,Email Marketing
787,609.0,3,Display Ads
1451,609.0,3,Display Ads
505,334.0,4,Direct / Referral
379,334.0,4,Direct / Referral
135,1618.0,3,Display Ads
544,1168.0,3,Display Ads
1168,736.0,2,Email Marketing
723,995.0,2,Email Marketing
1631,657.0,3,Display Ads
169,1257.0,2,Email Marketing
1004,169.0,3,Display Ads
1498,580.0,3,Display Ads
504,378.0,1,Paid Social
327,92.0,2,Email Marketing
1234,92.0,2,Email Marketing
1340,101.0,3,Display Ads
979,1383.0,3,Display Ads
774,620.0,4,Direct / Referral
634,226.0,3,Display Ads
677,226.0,3,Display Ads
438,312.0,2,Email Marketing
661,127.0,3,Display Ads
730,1482.0,1,Paid Social
228,1482.0,1,Paid Social
593,1482.0,1,Paid Social
1472,605.0,2,Email Marketing
0,605.0,2,Email Marketing
927,605.0,2,Email Marketing
1578,1249.0,2,Email Marketing
1249,1482.0,1,Paid Social
972,1249.0,2,Email Marketing
1555,1249.0,2,Email Marketing
1221,1426.0,2,Email Marketing
1426,1482.0,1,Paid Social
1528,1426.0,2,Email Marketing
292,1426.0,2,Email Marketing
987,1426.0,2,Email Marketing
242,1531.0,2,Email Marketing
911,1531.0,2,Email Marketing
703,1531.0,2,Email Marketing
1663,1398.0,2,Email Marketing
1398,1482.0,1,Paid Social
277,1398.0,2,Email Marketing
1480,1398.0,2,Email Marketing
1,854.0,2,Email Marketing
854,1482.0,1,Paid Social
1286,854.0,2,Email Marketing
320,854.0,2,Email Marketing
225,593.0,2,Email Marketing
1247,593.0,2,Email Marketing
1429,593.0,2,Email Marketing
545,143.0,2,Email Marketing
263,143.0,2,Email Marketing
366,143.0,2,Email Marketing
921,143.0,2,Email Marketing
270,143.0,2,Email Marketing
936,143.0,2,Email Marketing
1037,402.0,3,Display Ads
1165,402.0,3,Display Ads
879,1482.0,1,Paid Social
1256,879.0,2,Email Marketing
1320,879.0,2,Email Marketing
956,879.0,2,Email Marketing
1697,623.0,3,Display Ads
1237,623.0,3,Display Ads
529,623.0,3,Display Ads
220,795.0,2,Email Marketing
970,275.0,3,Display Ads
710,605.0,2,Email Marketing
398,1323.0,3,Display Ads
1695,250.0,1,Paid Social
1246,945.0,2,Email Marketing
1001,945.0,2,Email Marketing
1052,945.0,2,Email Marketing
1404,593.0,2,Email Marketing
451,945.0,2,Email Marketing
1567,1531.0,2,Email Marketing
1082,866.0,2,Email Marketing
163,945.0,2,Email Marketing
153,1331.0,4,Direct / Referral
791,,0,Organic Search
587,791.0,1,Paid Social
769,587.0,2,Email Marketing
1680,587.0,2,Email Marketing
1255,587.0,2,Email Marketing
1362,587.0,2,Email Marketing
1161,587.0,2,Email Marketing
1423,791.0,1,Paid Social
1250,1423.0,2,Email Marketing
1405,1423.0,2,Email Marketing
759,1423.0,2,Email Marketing
155,1423.0,2,Email Marketing
1070,1423.0,2,Email Marketing
227,602.0,2,Email Marketing
1133,602.0,2,Email Marketing
1533,602.0,2,Email Marketing
1229,791.0,1,Paid Social
870,1229.0,2,Email Marketing
1019,1229.0,2,Email Marketing
461,1229.0,2,Email Marketing
765,1229.0,2,Email Marketing
433,1229.0,2,Email Marketing
1410,1495.0,2,Email Marketing
1358,1009.0,2,Email Marketing
198,1009.0,2,Email Marketing
501,1009.0,2,Email Marketing
1556,1009.0,2,Email Marketing
741,362.0,2,Email Marketing
508,362.0,2,Email Marketing
512,362.0,2,Email Marketing
1432,362.0,2,Email Marketing
1069,362.0,2,Email Marketing
1577,362.0,2,Email Marketing
598,362.0,2,Email Marketing
492,362.0,2,Email Marketing
952,362.0,2,Email Marketing
350,362.0,2,Email Marketing
111,362.0,2,Email Marketing
518,362.0,2,Email Marketing
1061,1259.0,2,Email Marketing
1259,431.0,1,Paid Social
389,1259.0,2,Email Marketing
166,1259.0,2,Email Marketing
996,1259.0,2,Email Marketing
1271,1259.0,2,Email Marketing
472,1259.0,2,Email Marketing
1408,1259.0,2,Email Marketing
882,1259.0,2,Email Marketing
1210,1259.0,2,Email Marketing
311,1259.0,2,Email Marketing
179,1259.0,2,Email Marketing
1245,1259.0,2,Email Marketing
1525,1490.0,1,Paid Social
1448,145.0,2,Email Marketing
1132,381.0,2,Email Marketing
902,866.0,2,Email Marketing
481,1009.0,2,Email Marketing
1510,1009.0,2,Email Marketing
354,1009.0,2,Email Marketing
635,1229.0,2,Email Marketing
485,1335.0,2,Email Marketing
1522,1009.0,2,Email Marketing
264,1009.0,2,Email Marketing
1287,1009.0,2,Email Marketing
376,48.0,3,Display Ads
694,561.0,2,Email Marketing
452,561.0,2,Email Marketing
1687,1335.0,2,Email Marketing
749,1687.0,3,Display Ads
278,362.0,2,Email Marketing
1552,1259.0,2,Email Marketing
1471,339.0,3,Display Ads
1074,339.0,3,Display Ads
184,1009.0,2,Email Marketing
284,1009.0,2,Email Marketing
728,1009.0,2,Email Marketing
674,362.0,2,Email Marketing
150,1259.0,2,Email Marketing
537,229.0,4,Direct / Referral
1316,1306.0,5,Direct / Referral
258,1139.0,2,Email Marketing
420,250.0,1,Paid Social
672,1120.0,2,Email Marketing
1199,1215.0,3,Display Ads
1520,245.0,3,Display Ads
1332,1490.0,1,Paid Social
826,346.0,3,Display Ads
442,1632.0,3,Display Ads
1056,1579.0,1,Paid Social
1010,755.0,1,Paid Social
1203,755.0,1,Paid Social
1439,755.0,1,Paid Social
1694,1621.0,2,Email Marketing
387,1621.0,2,Email Marketing
999,1621.0,2,Email Marketing
1233,1257.0,2,Email Marketing
337,653.0,1,Paid Social
771,1251.0,3,Display Ads
722,1110.0,2,Email Marketing
43,945.0,2,Email Marketing
568,384.0,2,Email Marketing
142,9.0,3,Display Ads
626,955.0,3,Display Ads
1213,955.0,3,Display Ads
586,1519.0,2,Email Marketing
700,95.0,3,Display Ads
1011,745.0,3,Display Ads
1390,121.0,3,Display Ads
239,1515.0,3,Display Ads
1015,131.0,3,Display Ads
1035,920.0,2,Email Marketing
1558,323.0,3,Display Ads
1434,1136.0,3,Display Ads
120,897.0,3,Display Ads
686,594.0,3,Display Ads
575,1257.0,2,Email Marketing
953,506.0,2,Email Marketing
1032,557.0,3,Display Ads
1664,1156.0,3,Display Ads
881,1012.0,3,Display Ads
901,679.0,1,Paid Social
1218,203.0,3,Display Ads
712,1453.0,3,Display Ads
1196,1181.0,3,Display Ads
388,880.0,3,Display Ads
592,989.0,2,Email Marketing
633,568.0,3,Display Ads
1496,968.0,2,Email Marketing
786,520.0,4,Direct / Referral
682,938.0,3,Display Ads
1628,605.0,2,Email Marketing
1605,1531.0,2,Email Marketing
222,561.0,2,Email Marketing
913,418.0,2,Email Marketing
207,1490.0,1,Paid Social
584,709.0,3,Display Ads
625,9.0,3,Display Ads
1180,1239.0,3,Display Ads
668,1239.0,3,Display Ads
1144,1239.0,3,Display Ads
477,1596.0,2,Email Marketing
916,9.0,3,Display Ads
1059,1696.0,2,Email Marketing
410,894.0,2,Email Marketing
943,810.0,2,Email Marketing
924,1416.0,2,Email Marketing
1580,441.0,3,Display Ads
25,1490.0,1,Paid Social
158,1621.0,2,Email Marketing
241,893.0,3,Display Ads
372,654.0,4,Direct / Referral
837,654.0,4,Direct / Referral
1344,713.0,3,Display Ads
1338,1278.0,2,Email Marketing
319,92.0,2,Email Marketing
849,1281.0,3,Display Ads
3,1281.0,3,Display Ads
1670,1458.0,3,Display Ads
302,1458.0,3,Display Ads
1464,745.0,3,Display Ads
196,1667.0,3,Display Ads
1055,183.0,3,Display Ads
1258,1386.0,4,Direct / Referral
1509,620.0,4,Direct / Referral
238,250.0,1,Paid Social
471,1368.0,3,Display Ads
739,1181.0,3,Display Ads
1298,335.0,3,Display Ads
1208,827.0,3,Display Ads
331,1487.0,3,Display Ads
685,908.0,4,Direct / Referral
719,908.0,4,Direct / Referral
1588,897.0,3,Display Ads
124,104.0,3,Display Ads
172,1290.0,3,Display Ads
249,164.0,2,Email Marketing
53,1202.0,2,Email Marketing
342,500.0,2,Email Marketing
48,500.0,2,Email Marketing
565,500.0,2,Email Marketing
499,986.0,2,Email Marketing
1477,206.0,3,Display Ads
35,20.0,3,Display Ads
295,20.0,3,Display Ads
1282,25.0,2,Email Marketing
247,557.0,3,Display Ads
530,432.0,3,Display Ads
282,113.0,2,Email Marketing
846,1012.0,3,Display Ads
891,1012.0,3,Display Ads
546,250.0,1,Paid Social
642,250.0,1,Paid Social
1623,1066.0,3,Display Ads
74,250.0,1,Paid Social
655,1066.0,3,Display Ads
1120,250.0,1,Paid Social
1613,250.0,1,Paid Social
1539,990.0,3,Display Ads
550,1139.0,2,Email Marketing
202,1008.0,3,Display Ads
357,1065.0,3,Display Ads
1042,1065.0,3,Display Ads
1045,1065.0,3,Display Ads
1655,727.0,2,Email Marketing
1277,312.0,2,Email Marketing
1355,312.0,2,Email Marketing
1333,127.0,3,Display Ads
1461,1215.0,3,Display Ads
1204,1215.0,3,Display Ads
1359,1215.0,3,Display Ads
417,1215.0,3,Display Ads
560,313.0,2,Email Marketing
559,313.0,2,Email Marketing
833,901.0,2,Email Marketing
62,383.0,3,Display Ads
291,880.0,3,Display Ads
1526,1621.0,2,Email Marketing
510,908.0,4,Direct / Referral
27,557.0,3,Display Ads
926,852.0,4,Direct / Referral
646,1606.0,3,Display Ads
1279,1606.0,3,Display Ads
1049,1606.0,3,Display Ads
1054,520.0,4,Direct / Referral
1603,520.0,4,Direct / Referral
665,520.0,4,Direct / Referral
636,479.0,5,Direct / Referral
1503,580.0,3,Display Ads
549,781.0,4,Direct / Referral
1151,781.0,4,Direct / Referral
1373,872.0,2,Email Marketing
1040,1516.0,4,Direct / Referral
1565,1481.0,3,Display Ads
883,1481.0,3,Display Ads
296,55.0,2,Email Marketing
1521,55.0,2,Email Marketing
581,1600.0,1,Paid Social
233,630.0,2,Email Marketing
1676,1618.0,3,Display Ads
868,169.0,3,Display Ads
1147,1027.0,2,Email Marketing
